Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,No Of imported HS6 digit Products,Export Share in Total Products (%),Import Share in Total Products (%),Trade Balance (US$ Thousand),Export (US$ Thousand),Import (US$ Thousand),Import Partner Share (%),Export Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
 World,Aruba,2019,Exports & Imports,2681,655,58.08,14.09,,1144472.07,108388.54,0,0.01,2.57,0.6,3373,12.45,86.9,0.15,0.5,274.5,0,195.69,15070.67,47447.15,9.57,4.51,163958,69.49,26.65,57.37,130.36,3000,0,39390.31,62517.82,0,11
 World,Afghanistan,2019,Exports & Imports,3205,1417,69.43,30.48,,7146523.24,2299388.79,0.01,0.04,5.05,2.78,15621,39.26,59.42,0.24,1.08,3000,0,144950.41,1252893.53,207579.96,10.14,9.67,422941,69.54,21.71,22.72,214.13,3000,0,436803.23,1460473.48,0,28
 World,Angola,2019,Exports & Imports,3896,1609,84.4,34.61,,9337853.9,37539377.32,0.2,0.05,10.8,0.16,12186,54.58,42.09,0.31,3.02,3000,0,570.77,5337475.37,37424762.82,10.52,2.28,430715,68.72,23.6,28.18,243.22,3000,0,37383284.44,42762238.19,0,22
 World,Anguila,2019,Exports & Imports,1198,462,25.95,9.94,,182110.64,47908.79,0,0,7.24,3.05,2436,42.12,56.32,0.04,1.52,150,0,0.17,28611.25,28359.34,10.99,8.57,186033,68.8,22.47,101.35,565.52,3000,0,25880.19,56970.58,0,15
 World,Albania,2019,Exports & Imports,3832,2232,83.02,48.01,,5439114.65,2829813.28,0.02,0.03,2.19,2.91,46405,15.03,79.64,0.29,5.05,3000,0,68103.79,3613371.32,1223892.11,9.92,9.95,681971,70.85,22.85,10.5,82.12,3000,0,1278307.44,4837263.43,0,19
 World,Andorra,2019,Exports & Imports,2879,1255,62.37,27,,1474875.85,117304.04,0,0.01,5.84,1.02,12920,14.5,80.39,0.33,4.79,3000,0,44,135130.95,65430.22,10.97,6.96,395689,69.26,21.78,31.16,243.14,3000,0,44871.83,200561.17,0,10
 World,United Arab Emirates,2019,Exports & Imports,4473,4405,96.9,94.75,,207652755.7,207306251.2,1.11,1.13,7.32,3.81,207117,63.35,32,0.82,3.83,3000,0,59272572.95,181951281.2,246405.37,9.36,5.76,1281864,69.49,23.85,3.41,37.81,3000,0,81582196.89,182197686.5,0,17
 World,Argentina,2019,Exports & Imports,4176,3610,90.47,77.65,,45194058.25,67570956.51,0.36,0.25,4.66,9.54,116262,44.11,41.53,1.51,12.85,3000,0,9209185.34,64094483.61,2624341.85,9.69,13.92,1072644,69.27,23.49,5.46,61.34,3000,0,19459598.06,66718825.47,0,70
 World,Armenia,2019,Exports & Imports,3691,1919,79.96,41.28,,3982480.43,2714179.2,0.01,0.02,1.94,5.63,30083,8.56,70.26,2.52,18.66,3000,0,38707.94,1296483.97,1207720.71,11.4,13.53,538641,70.28,20.81,16.57,142.91,3000,0,674887.11,2504204.68,0,12
 World,American Samoa,2019,Exports & Imports,1058,814,22.92,17.51,,176512.92,28248.47,0,0,5.28,1.92,4087,62.78,26.57,3.11,7.54,160.45,0,224.42,21693.66,6370.07,9.46,5.26,190044,69,22.29,54.54,350.48,3000,0,1998.84,28063.73,0,2
